RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.w_pp3_aor_imptv2b,w_pp3,on,2nd,sg,aor,imptv,act
verbinfl.w_pp3_aor_imptv3b,w_pp3,a/tw,3rd,sg,aor,imptv,act
verbinfl.w_pp3_aor_imptv4b,w_pp3,aton,2nd,dual,aor,imptv,act
verbinfl.w_pp3_aor_imptv5b,w_pp3,a/twn,3rd,dual,aor,imptv,act
verbinfl.w_pp3_aor_imptv7b,w_pp3,ate,2nd,pl,aor,imptv,act
verbinfl.w_pp3_aor_imptv8b,w_pp3,a/ntwn,3rd,pl,aor,imptv,act
verbinfl.w_pp3_aor_imptv10b,w_pp3,ai,2nd,sg,aor,imptv,mid
verbinfl.w_pp3_aor_imptv11b,w_pp3,a/sqw,3rd,sg,aor,imptv,mid
verbinfl.w_pp3_aor_imptv12b,w_pp3,asqon,2nd,dual,aor,imptv,mid
verbinfl.w_pp3_aor_imptv13b,w_pp3,a/sqwn,3rd,dual,aor,imptv,mid
verbinfl.w_pp3_aor_imptv14b,w_pp3,hti,2nd,sg,aor,imptv,pass
verbinfl.w_pp3_aor_imptv15b,w_pp3,htw,3rd,sg,aor,imptv,pass
verbinfl.w_pp3_aor_imptv16b,w_pp3,hton,2nd,dual,aor,imptv,pass
verbinfl.w_pp3_aor_imptv17b,w_pp3,htwn,3rd,dual,aor,imptv,pass
