RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.w_pp3_aor_opt1b,w_pp3,aimi,1st,sg,aor,opt,act
verbinfl.w_pp3_aor_opt2b,w_pp3,ais,2nd,sg,aor,opt,act
verbinfl.w_pp3_aor_opt2bx,w_pp3,eias,2nd,sg,aor,opt,act
verbinfl.w_pp3_aor_opt3b,w_pp3,ai,3rd,sg,aor,opt,act
verbinfl.w_pp3_aor_opt3bx,w_pp3,eie,3rd,sg,aor,opt,act

verbinfl.w_pp3_aor_opt4b,w_pp3,aiton,2nd,dual,aor,opt,act
verbinfl.w_pp3_aor_opt5b,w_pp3,aithn,3rd,dual,aor,opt,act

verbinfl.w_pp3_aor_opt6b,w_pp3,aimen,1st,pl,aor,opt,act
verbinfl.w_pp3_aor_opt7b,w_pp3,aite,2nd,pl,aor,opt,act
verbinfl.w_pp3_aor_opt8b,w_pp3,aien,3rd,pl,aor,opt,act
verbinfl.w_pp3_aor_opt8d,w_pp3,eian,3rd,pl,aor,opt,act

verbinfl.w_pp3_aor_opt9b,w_pp3,aimhn,1st,sg,aor,opt,mid
verbinfl.w_pp3_aor_opt10b,w_pp3,aio,2nd,sg,aor,opt,mid
verbinfl.w_pp3_aor_opt11b,w_pp3,aito,3rd,sg,aor,opt,mid
verbinfl.w_pp3_aor_opt12b,w_pp3,aisqon,2nd,dual,aor,opt,mid
verbinfl.w_pp3_aor_opt13b,w_pp3,aisqhn,3rd,dual,aor,opt,mid
verbinfl.w_pp3_aor_opt14b,w_pp3,aimeqa,1st,pl,aor,opt,mid
verbinfl.w_pp3_aor_opt15b,w_pp3,aisqe,2nd,pl,aor,opt,mid
verbinfl.w_pp3_aor_opt16b,w_pp3,ainto,3rd,pl,aor,opt,mid
verbinfl.w_pp3_aor_opt7b,w_pp3,eihn,1st,sg,aor,opt,pass
verbinfl.w_pp3_aor_opt17b,w_pp3,eihs,2nd,sg,aor,opt,pass
verbinfl.w_pp3_aor_opt19b,w_pp3,eih,3rd,sg,aor,opt,pass
verbinfl.w_pp3_aor_opt20b,w_pp3,eihton,2nd,dual,aor,opt,pass
verbinfl.w_pp3_aor_opt20d,w_pp3,ei=ton,2nd,dual,aor,opt,pass
verbinfl.w_pp3_aor_opt21b,w_pp3,ei=thn,3rd,dual,aor,opt,pass
verbinfl.w_pp3_aor_opt21d,w_pp3,eihthn,3rd,dual,aor,opt,pass
verbinfl.w_pp3_aor_opt22b,w_pp3,ei=men,1st,pl,aor,opt,pass
verbinfl.w_pp3_aor_opt22d,w_pp3,eihmen,1st,pl,aor,opt,pass
verbinfl.w_pp3_aor_opt23b,w_pp3,ei=te,2nd,pl,aor,opt,pass
verbinfl.w_pp3_aor_opt23d,w_pp3,eihte,2nd,pl,aor,opt,pass
verbinfl.w_pp3_aor_opt24b,w_pp3,ei=en,3rd,pl,aor,opt,pass
verbinfl.w_pp3_aor_opt24b,w_pp3,eihsan,3rd,pl,aor,opt,pass
