RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.w_pp5_pft_indic9b,w_pp5,mai,1st,sg,pft,indic,mid
verbinfl.w_pp5_pft_indic11b,w_pp5,sai,2nd,sg,pft,indic,mid
verbinfl.w_pp5_pft_indic12b,w_pp5,tai,3rd,sg,pft,indic,mid
verbinfl.w_pp5_pft_indic13b,w_pp5,sqon,2nd,dual,pft,indic,mid
verbinfl.w_pp5_pft_indic14b,w_pp5,sqon,3rd,dual,pft,indic,mid
verbinfl.w_pp5_pft_indic15b,w_pp5,meqa,1st,pl,pft,indic,mid
verbinfl.w_pp5_pft_indic16b,w_pp5,sqe,2nd,pl,pft,indic,mid
verbinfl.w_pp5_pft_indic17b,w_pp5,ntai,3rd,pl,pft,indic,mid
verbinfl.w_pp5_pft_indic18b,w_pp5,mai,1st,sg,pft,indic,pass
verbinfl.w_pp5_pft_indic19b,w_pp5,sai,2nd,sg,pft,indic,pass
verbinfl.w_pp5_pft_indic20b,w_pp5,tai,3rd,sg,pft,indic,pass
verbinfl.w_pp5_pft_indic21b,w_pp5,sqon,2nd,dual,pft,indic,pass
verbinfl.w_pp5_pft_indic22b,w_pp5,sqon,3rd,dual,pft,indic,pass
verbinfl.w_pp5_pft_indic23b,w_pp5,meqa,1st,pl,pft,indic,pass
verbinfl.w_pp5_pft_indic24b,w_pp5,sqe,2nd,pl,pft,indic,pass
verbinfl.w_pp5_pft_indic25b,w_pp5,ntai,3rd,pl,pft,indic,pass
