RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.w_pp6_fut_opt1,w_pp6,oimi,1st,sg,fut,opt,act
verbinfl.w_pp6_fut_opt2,w_pp6,ois,2nd,sg,fut,opt,act
verbinfl.w_pp6_fut_opt3,w_pp6,oi,3rd,sg,fut,opt,act

verbinfl.w_pp6_fut_opt4,w_pp6,oiton,2nd,dual,fut,opt,act
verbinfl.w_pp6_fut_opt5,w_pp6,oithn,3rd,dual,fut,opt,act

verbinfl.w_pp6_fut_opt6,w_pp6,oimen,1st,pl,fut,opt,act
verbinfl.w_pp6_fut_opt7,w_pp6,oite,2nd,pl,fut,opt,act
verbinfl.w_pp6_fut_opt8,w_pp6,wsi,3rd,pl,fut,opt,act
verbinfl.w_pp6_fut_opt8n,oien,wsin,3rd,pl,fut,opt,act


verbinfl.w_pp6_fut_opt9,w_pp6,oimhn,1st,sg,fut,opt,mid
verbinfl.w_pp6_fut_opt10,w_pp6,oio,2nd,sg,fut,opt,mid
verbinfl.w_pp6_fut_opt11,w_pp6,oito,3rd,sg,fut,opt,mid

verbinfl.w_pp6_fut_opt12,w_pp6,oisqon,2nd,dual,fut,opt,mid
verbinfl.w_pp6_fut_opt13,w_pp6,oisqhn,3rd,dual,fut,opt,mid

verbinfl.w_pp6_fut_opt14,w_pp6,oimeqa,1st,pl,fut,opt,mid
verbinfl.w_pp6_fut_opt15,w_pp6,oisqe,2nd,pl,fut,opt,mid
verbinfl.w_pp6_fut_opt16,w_pp6,ointo,3rd,pl,fut,opt,mid




verbinfl.w_pp6_fut_opt7,w_pp6,hsoimhn,1st,sg,fut,opt,pass
verbinfl.w_pp6_fut_opt18,w_pp6,hsoio,2nd,sg,fut,opt,pass
verbinfl.w_pp6_fut_opt19,w_pp6,hsoito,3rd,sg,fut,opt,pass

verbinfl.w_pp6_fut_opt20,w_pp6,hsoisqon,2nd,dual,fut,opt,pass
verbinfl.w_pp6_fut_opt21,w_pp6,hsoisqhn,3rd,dual,fut,opt,pass

verbinfl.w_pp6_fut_opt22,w_pp6,hsoimeqa,1st,pl,fut,opt,pass
verbinfl.w_pp6_fut_opt23,w_pp6,hsoisqe,2nd,pl,fut,opt,pass
verbinfl.w_pp6_fut_opt24,w_pp6,hsointo,3rd,pl,fut,opt,pass
