StemUrn,LexicalEntity,StemString,MorphologicalClass,Tags
smyth.n64316_0,lexent.n64316,lu_,w_regular,Smyth 383
smyth.n62274_0,lexent.n62274,leip,w_pp1,Smyth 384
smyth.n62274_1,lexent.n62274,leiy,w_pp2,Smyth 384
smyth.n62274_2,lexent.n62274,lip,aor2,Smyth 384
smyth.n62274_3,lexent.n62274,leloip,w_pp4,Smyth 384
smyth.n103972_0,lexent.n103972,ti_m,aw_contract,Smyth 385
smyth.n84234_0,lexent.n84234,poi,ew_contract,Smyth 385
smyth.n24342_0,lexent.n24342,dhl,ow_contract,Smyth 385
smyth.n22825_0,lexent.n22825,gra^f,w_pp1,Smyth 406
smyth.n22825_1,lexent.n22825,gra^y,w_pp2,Smyth 406
smyth.n22825_2,lexent.n22825,gra^y,w_pp3,Smyth 406
smyth.n22825_3,lexent.n22825,gegra^f,w_pp4,Smyth 406
smyth.n22825_4,lexent.n22825,gegra^m,w_pp5,Smyth 406
smyth.n22825_5,lexent.n22825,gra^f,w_pp6,Smyth 406
