StemUrn,LexicalEntity,Stem,Gender,InflClass,Accent,Tags
coretests.n67485_0,lexent.n67485,mhn,fem,is_ios,stempenacc,
coretests.n115887_0,lexent.n115887,yux,fem,h_hs,inflacc,
coretests.n46456_0,lexent.n46456,zwn,fem,h_hs,stemultacc,
coretests.n47039_0,lexent.n47039,ni_k,fem,h_hs,stemultacc,
coretests.n29828_0,lexent.n29828,dwr,neut,os_ou,stemultacc,
coretests.n272092_0,lexent.n272092,o(d,fem,os_ou,inflacc,
coretests.n8909_0,lexent.n8909,a)nqrwp,masc,os_ou,stempenacc,
coretests.n14584_0,lexent.n14584,boul,fem,h_hs,inflacc,
coretests.n23069_0,lexent.n23069,g,fem,gunh,irregacc,
coretests.n113390_0,lexent.n113390,xa_ris,neut,ma_matos,stemultacc,
coretests.n19546_0,lexent.n19546,basil,masc,eus_ews,inflacc,
