TaggingUrn,Ending,Tag
urn:cite:ns:morphtag.1,urn:cite:ns:morphend.end_1a,standard
urn:cite:ns:morphtag.2,urn:cite:ns:morphend.end_1b,standard
urn:cite:ns:morphtag.3,urn:cite:ns:morphend.end_1c,standard
urn:cite:ns:morphtag.4,urn:cite:ns:morphend.end_2,standard
urn:cite:ns:morphtag.5,urn:cite:ns:morphend.end_3,standard
urn:cite:ns:morphtag.6,urn:cite:ns:morphend.end_4,standard
urn:cite:ns:morphtag.7,urn:cite:ns:morphend.end_5a,standard
urn:cite:ns:morphtag.8,urn:cite:ns:morphend.end_5b,standard
urn:cite:ns:morphtag.9,urn:cite:ns:morphend.end_5c,standard
urn:cite:ns:morphtag.10,urn:cite:ns:morphend.end_6,standard
urn:cite:ns:morphtag.11,urn:cite:ns:morphend.end_7,standard
urn:cite:ns:morphtag.12,urn:cite:ns:morphend.end_8,standard
urn:cite:ns:morphtag.13,urn:cite:ns:morphend.end_9,standard
urn:cite:ns:morphtag.14,urn:cite:ns:morphend.end_10,standard
urn:cite:ns:morphtag.15,urn:cite:ns:morphend.end_11a,standard
urn:cite:ns:morphtag.16,urn:cite:ns:morphend.end_11b,standard
urn:cite:ns:morphtag.17,urn:cite:ns:morphend.end_11c,standard
urn:cite:ns:morphtag.18,urn:cite:ns:morphend.end_12,standard
urn:cite:ns:morphtag.19,urn:cite:ns:morphend.end_13,standard
urn:cite:ns:morphtag.20,urn:cite:ns:morphend.end_14a,standard
urn:cite:ns:morphtag.21,urn:cite:ns:morphend.end_14b,standard
urn:cite:ns:morphtag.22,urn:cite:ns:morphend.end_14c,standard
urn:cite:ns:morphtag.23,urn:cite:ns:morphend.end_15a,standard
urn:cite:ns:morphtag.24,urn:cite:ns:morphend.end_15b,standard
urn:cite:ns:morphtag.25,urn:cite:ns:morphend.end_15c,standard
urn:cite:ns:morphtag.26,urn:cite:ns:morphend.vbend_1,standard
urn:cite:ns:morphtag.27,urn:cite:ns:morphend.vbend_1fut,standard
urn:cite:ns:morphtag.28,urn:cite:ns:morphend.vbend_2,standard
urn:cite:ns:morphtag.29,urn:cite:ns:morphend.vbend_2fut,standard
urn:cite:ns:morphtag.30,urn:cite:ns:morphend.vbend_3,standard
urn:cite:ns:morphtag.31,urn:cite:ns:morphend.vbend_3fut,standard
urn:cite:ns:morphtag.32,urn:cite:ns:morphend.vbend_4,standard
urn:cite:ns:morphtag.33,urn:cite:ns:morphend.vbend_4fut,standard
urn:cite:ns:morphtag.34,urn:cite:ns:morphend.vbend_5,standard
urn:cite:ns:morphtag.35,urn:cite:ns:morphend.vbend_5fut,standard
urn:cite:ns:morphtag.36,urn:cite:ns:morphend.vbend_6,standard
urn:cite:ns:morphtag.37,urn:cite:ns:morphend.vbend_6fut,standard
urn:cite:ns:morphtag.38,urn:cite:ns:morphend.vbend_7,standard
urn:cite:ns:morphtag.39,urn:cite:ns:morphend.vbend_7fut,standard
urn:cite:ns:morphtag.40,urn:cite:ns:morphend.vbend_8,standard
urn:cite:ns:morphtag.41,urn:cite:ns:morphend.vbend_8fut,standard
urn:cite:ns:morphtag.42,urn:cite:ns:morphend.vbend_9,standard
urn:cite:ns:morphtag.43,urn:cite:ns:morphend.vbend_10,standard
urn:cite:ns:morphtag.44,urn:cite:ns:morphend.vbend_11,standard
urn:cite:ns:morphtag.45,urn:cite:ns:morphend.vbend_12,standard
urn:cite:ns:morphtag.46,urn:cite:ns:morphend.vbend_13,standard
urn:cite:ns:morphtag.47,urn:cite:ns:morphend.vbend_14,standard
urn:cite:ns:morphtag.48,urn:cite:ns:morphend.vbend_15,standard
urn:cite:ns:morphtag.49,urn:cite:ns:morphend.vbend_16,standard
urn:cite:ns:morphtag.50,urn:cite:ns:morphend.vbend_17,standard
urn:cite:ns:morphtag.51,urn:cite:ns:morphend.vbend_18,standard
urn:cite:ns:morphtag.52,urn:cite:ns:morphend.vbend_19,standard
urn:cite:ns:morphtag.53,urn:cite:ns:morphend.vbend_20,standard
urn:cite:ns:morphtag.54,urn:cite:ns:morphend.vbend_21,standard
urn:cite:ns:morphtag.55,urn:cite:ns:morphend.vbend_22,standard
urn:cite:ns:morphtag.56,urn:cite:ns:morphend.vbend_23,standard
urn:cite:ns:morphtag.57,urn:cite:ns:morphend.vbend_24,standard
urn:cite:ns:morphtag.58,urn:cite:ns:morphend.end_2epic,epic
urn:cite:ns:morphtag.59,urn:cite:ns:morphend.end_7epic,epic
urn:cite:ns:morphtag.60,urn:cite:ns:morphend.end_8epic,epic
urn:cite:ns:morphtag.61,urn:cite:ns:morphend.end_13epic,epic
urn:cite:ns:morphtag.62,urn:cite:ns:morphend.end_13epic2,epic
