EndingUrn,EndingString,Form,FormSet

urn:cite:ns:morphend.vbend_1,"w","first:singular:present:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"
urn:cite:ns:morphend.vbend_1fut,"w","first:singular:future:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"
urn:cite:ns:morphend.vbend_2,"eis","second:singular:present:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"
urn:cite:ns:morphend.vbend_2fut,"eis","second:singular:future:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"
urn:cite:ns:morphend.vbend_3,"ei","third:singular:present:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"
urn:cite:ns:morphend.vbend_3fut,"ei","third:singular:future:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"


urn:cite:ns:morphend.vbend_4,"eton","second:dual:present:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"
urn:cite:ns:morphend.vbend_4fut,"eton","second:dual:future:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"
urn:cite:ns:morphend.vbend_5,"eton","third:dual:present:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"
urn:cite:ns:morphend.vbend_5fut,"eton","third:dual:future:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"


urn:cite:ns:morphend.vbend_6,"omen","first:plural:present:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"
urn:cite:ns:morphend.vbend_6fut,"omen","first:plural:future:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"
urn:cite:ns:morphend.vbend_7,"ete","second:plural:present:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"
urn:cite:ns:morphend.vbend_7fut,"ete","second:plural:future:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"
urn:cite:ns:morphend.vbend_8,"ousi","third:plural:present:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"
urn:cite:ns:morphend.vbend_8fut,"ousi","third:plural:future:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"


urn:cite:ns:morphend.vbend_9,"on","first:singular:aorist:indicative:active::::verb","urn:cite:ns:inflclass.aor2"
urn:cite:ns:morphend.vbend_10,"es","second:singular:aorist:indicative:active::::verb","urn:cite:ns:inflclass.aor2"
urn:cite:ns:morphend.vbend_11,"e","third:singular:aorist:indicative:active::::verb","urn:cite:ns:inflclass.aor2"

urn:cite:ns:morphend.vbend_12,"eton","second:dual:aorist:indicative:active::::verb","urn:cite:ns:inflclass.aor2"
urn:cite:ns:morphend.vbend_13,"eton","third:dual:aorist:indicative:active::::verb","urn:cite:ns:inflclass.aor2"

urn:cite:ns:morphend.vbend_14,"omen","first:plural:aorist:indicative:active::::verb","urn:cite:ns:inflclass.aor2"
urn:cite:ns:morphend.vbend_15,"ete","second:plural:aorist:indicative:active::::verb","urn:cite:ns:inflclass.aor2"
urn:cite:ns:morphend.vbend_16,"on","third:plural:aorist:indicative:active::::verb","urn:cite:ns:inflclass.aor2"



urn:cite:ns:morphend.vbend_17,"on","first:singular:imperfect:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"
urn:cite:ns:morphend.vbend_18,"es","second:singular:imperfect:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"
urn:cite:ns:morphend.vbend_19,"e","third:singular:imperfect:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"

urn:cite:ns:morphend.vbend_20,"eton","second:dual:imperfect:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"
urn:cite:ns:morphend.vbend_21,"eton","third:dual:imperfect:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"

urn:cite:ns:morphend.vbend_22,"omen","first:plural:imperfect:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"
urn:cite:ns:morphend.vbend_23,"ete","second:plural:imperfect:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"
urn:cite:ns:morphend.vbend_24,"on","third:plural:imperfect:indicative:active::::verb","urn:cite:ns:inflclass.w_verb"


