LexicalEntity,Lemma,ShortDef
urn:cite:perseus:lexentity.lex16682.1,γνώμη,"means of knowing"
urn:cite:perseus:lexentity.lex17565.1,δίκη,"justice"
urn:cite:perseus:lexentity.lex95031.1,ἀρετή,"goodness, virtue"
urn:cite:perseus:lexentity.lex46107.1,μοῖρα,"part, share, fate"
urn:cite:perseus:lexentity.lex82066.1,χώρα,"space, land"
urn:cite:perseus:lexentity.lex27206.1,θάλασσα,"sea"
urn:cite:perseus:lexentity.lex57461.1,πολίτης,"citizen"
urn:cite:perseus:lexentity.lex47334.1,νεανίης,"a young man"
urn:cite:perseus:lexentity.lex41535.1,λόγος,"word, reason, ratio"
urn:cite:perseus:lexentity.lex120856.1,ὁδός,"way, road"
urn:cite:perseus:lexentity.lex57041.1,πλοῦτος,"wealth, riches"
urn:cite:perseus:lexentity.lex98847.1,ἄνθρωπος,"human being"
urn:cite:perseus:lexentity.lex49558.1,οἰωνός,"bird"
urn:cite:perseus:lexentity.lex113895.1,ἔχω,"to have"
